"id","condition","problem","allocation_risky","allocation_safe","subsequent_allocation_risky","subsequent_allocation_safe","fiveYear","perception","confidence","perceived_return","perceived_loss","perceived_upside","informed","satisfied","created_at","updated_at"
"12","description","31","39","61","37","63","136","5","4","120","60","50","5","4","2018-07-14 07:59:48","2018-07-14 07:59:48"
"13","risktool","58","100","0","100","0","194","7","2","170","25","50","2","6","2018-07-14 08:00:07","2018-07-14 08:00:07"
"14","risktool","12","100","0","100","0","141","3","7","250","20","60","6","2","2018-07-14 08:00:44","2018-07-14 08:00:44"
"15","experience","99","100","0","100","0","109","7","4","156","25","50","1","2","2018-07-14 08:01:11","2018-07-14 08:01:11"
"16","experience","46","62","38","70","30","133","5","3","130","60","10","4","4","2018-07-14 08:01:27","2018-07-14 08:01:27"
"17","risktool","98","67","33","50","50","173","4","4","140","110","19","2","7","2018-07-14 08:02:22","2018-07-14 08:02:22"
"18","description","52","100","0","100","0","395","7","6","195","25","50","2","7","2018-07-14 08:02:23","2018-07-14 08:02:23"
"19","description","45","66","34","63","37","162","4","4","133","40","10","6","6","2018-07-14 08:02:56","2018-07-14 08:02:56"
"20","experience","51","100","0","100","0","127","6","5","350","35","60","4","2","2018-07-14 08:03:38","2018-07-14 08:03:38"
"21","distribution","74","100","0","100","0","95","7","6","200","25","50","2","1","2018-07-14 08:03:47","2018-07-14 08:03:47"
"22","risktool","39","78","22","50","50","160","4","4","190","60","10","3","4","2018-07-14 08:03:50","2018-07-14 08:03:50"
"23","risktool","27","100","0","80","20","96","7","3","150","30","10","3","1","2018-07-14 08:03:58","2018-07-14 08:03:58"
"24","distribution","62","74","26","77","23","135","5","5","130","20","10","6","4","2018-07-14 08:04:12","2018-07-14 08:04:12"
"25","risktool","31","55","45","74","26","160","3","3","130","40","30","5","5","2018-07-14 08:04:15","2018-07-14 08:04:15"
"26","risktool","73","36","64","48","52","115","6","2","145","40","20","3","3","2018-07-14 08:04:34","2018-07-14 08:04:34"
"27","distribution","18","11","89","79","21","132","5","3","112","112","50","3","6","2018-07-14 08:05:32","2018-07-14 08:05:32"
"28","experience","44","30","70","36","64","121","2","5","120","50","40","4","5","2018-07-14 08:05:38","2018-07-14 08:05:38"
"29","risktool","55","53","47","72","28","133","5","5","120","60","50","5","5","2018-07-14 08:05:39","2018-07-14 08:05:39"
"30","risktool","49","35","65","35","65","124","7","3","150","30","10","2","7","2018-07-14 08:05:46","2018-07-14 08:05:46"
"31","risktool","70","80","20","70","30","189","4","4","1","1","1","4","2","2018-07-14 08:06:10","2018-07-14 08:06:10"
"32","description","57","100","0","100","0","150","5","5","180","20","60","5","5","2018-07-14 08:06:13","2018-07-14 08:06:13"
"33","risktool","74","60","40","60","40","139","6","5","135","60","20","3","5","2018-07-14 08:06:40","2018-07-14 08:06:40"
"34","experience","5","56","44","27","73","105","2","4","155","10","45","4","1","2018-07-14 08:07:07","2018-07-14 08:07:07"
"35","experience","53","70","30","70","30","158","7","3","150","30","10","3","7","2018-07-14 08:07:13","2018-07-14 08:07:13"
"36","risktool","55","38","62","58","42","124","6","5","130","30","10","4","4","2018-07-14 08:07:18","2018-07-14 08:07:18"
"37","description","68","20","80","40","60","121","2","2","100","50","20","2","5","2018-07-14 08:07:22","2018-07-14 08:07:22"
"38","experience","94","73","27","63","37","56","7","3","150","39","30","4","1","2018-07-14 08:07:23","2018-07-14 08:07:23"
"39","risktool","0","100","0","66","34","218","1","1","1","1","1","1","1","2018-07-14 08:07:34","2018-07-14 08:07:34"
"40","risktool","90","100","0","100","0","191","7","2","196","250","65","1","5","2018-07-14 08:08:02","2018-07-14 08:08:02"
"41","distribution","14","100","0","100","0","173","5","5","250","20","60","5","7","2018-07-14 08:08:13","2018-07-14 08:08:13"
"42","description","97","70","30","31","69","115","7","3","150","26","10","3","3","2018-07-14 08:09:12","2018-07-14 08:09:12"
"43","distribution","35","44","56","74","26","192","1","4","130","50","50","5","7","2018-07-14 08:09:12","2018-07-14 08:09:12"
"44","risktool","28","35","65","35","65","152","4","3","110","35","10","3","6","2018-07-14 08:09:29","2018-07-14 08:09:29"
"45","experience","57","35","65","40","60","118","2","6","128","3","3","6","2","2018-07-14 08:10:20","2018-07-14 08:10:20"
"46","distribution","70","65","35","35","65","125","7","3","150","28","10","3","5","2018-07-14 08:10:27","2018-07-14 08:10:27"
